CaseID,Domain,Hop,Codeword,Layer,Port,PRB,Symbol,Subcarrier,LinearIndex0Based,Status
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,1,4,256,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,1,5,257,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,1,6,258,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,1,7,259,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,1,8,260,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,1,9,261,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,1,10,262,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,1,11,263,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,1,0,264,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,1,1,265,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,1,2,266,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,1,3,267,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,1,4,268,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,1,5,269,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,1,6,270,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,1,7,271,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,1,8,272,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,1,9,273,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,1,10,274,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,10,1,11,275,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,1,1,277,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,1,2,278,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,1,3,279,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,1,4,280,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,1,5,281,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,1,6,282,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,1,7,283,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,1,8,284,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,1,9,285,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,1,10,286,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,11,1,11,287,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,3,0,432,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,3,1,433,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,3,2,434,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,3,3,435,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,3,4,436,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,3,5,437,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,3,6,438,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,3,7,439,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,3,8,440,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,3,9,441,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,3,10,442,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,0,3,11,443,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,3,1,445,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,3,2,446,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,3,3,447,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,3,4,448,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,3,5,449,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,3,6,450,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,3,7,451,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,3,8,452,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,3,9,453,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,3,10,454,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,1,3,11,455,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,3,0,456,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,2,3,1,457,PASS
