CaseID,Channel,Mu,MRB,Pathloss_dB,P0_dBm,Alpha,DeltaTF_dB,TPC_dB,RequestedPower_dBm,AppliedPower_dBm,MeasuredPower_dBm,PCMAX_dBm,Status
PC-00163,PRACH,1,50,60,-100,0.8,0,1,-31,-31,-31,23,PASS
PC-00164,PRACH,1,50,90,-100,0.8,0,1,-7,-7,-7,23,PASS
PC-00165,PRACH,1,50,120,-100,0.8,0,1,17,17,17,23,PASS
PC-00166,PRACH,1,100,60,-100,0.8,0,1,-27.9897000433602,-27.9897000433602,-27.9897000433602,23,PASS
PC-00167,PRACH,1,100,90,-100,0.8,0,1,-3.98970004336019,-3.98970004336019,-3.98970004336019,23,PASS
PC-00168,PRACH,1,100,120,-100,0.8,0,1,20.0102999566398,20.0102999566398,20.0102999566398,23,PASS
PC-00169,PRACH,2,1,60,-100,0.8,0,1,-44.9794000867204,-44.9794000867204,-44.9794000867204,23,PASS
PC-00170,PRACH,2,1,90,-100,0.8,0,1,-20.9794000867204,-20.9794000867204,-20.9794000867204,23,PASS
PC-00171,PRACH,2,1,120,-100,0.8,0,1,3.02059991327963,3.02059991327963,3.02059991327963,23,PASS
PC-00172,PRACH,2,10,60,-100,0.8,0,1,-34.9794000867204,-34.9794000867204,-34.9794000867204,23,PASS
PC-00173,PRACH,2,10,90,-100,0.8,0,1,-10.9794000867204,-10.9794000867204,-10.9794000867204,23,PASS
PC-00174,PRACH,2,10,120,-100,0.8,0,1,13.0205999132796,13.0205999132796,13.0205999132796,23,PASS
PC-00175,PRACH,2,50,60,-100,0.8,0,1,-27.9897000433602,-27.9897000433602,-27.9897000433602,23,PASS
PC-00176,PRACH,2,50,90,-100,0.8,0,1,-3.98970004336019,-3.98970004336019,-3.98970004336019,23,PASS
PC-00177,PRACH,2,50,120,-100,0.8,0,1,20.0102999566398,20.0102999566398,20.0102999566398,23,PASS
PC-00178,PRACH,2,100,60,-100,0.8,0,1,-24.9794000867204,-24.9794000867204,-24.9794000867204,23,PASS
PC-00179,PRACH,2,100,90,-100,0.8,0,1,-0.979400086720375,-0.979400086720375,-0.979400086720375,23,PASS
PC-00180,PRACH,2,100,120,-100,0.8,0,1,23.0205999132796,23,23,23,PASS
PC-00181,PRACH,3,1,60,-100,0.8,0,1,-41.9691001300806,-41.9691001300806,-41.9691001300806,23,PASS
PC-00182,PRACH,3,1,90,-100,0.8,0,1,-17.9691001300806,-17.9691001300806,-17.9691001300806,23,PASS
PC-00183,PRACH,3,1,120,-100,0.8,0,1,6.03089986991944,6.03089986991944,6.03089986991944,23,PASS
PC-00184,PRACH,3,10,60,-100,0.8,0,1,-31.9691001300806,-31.9691001300806,-31.9691001300806,23,PASS
PC-00185,PRACH,3,10,90,-100,0.8,0,1,-7.96910013008056,-7.96910013008056,-7.96910013008056,23,PASS
PC-00186,PRACH,3,10,120,-100,0.8,0,1,16.0308998699194,16.0308998699194,16.0308998699194,23,PASS
PC-00187,PRACH,3,50,60,-100,0.8,0,1,-24.9794000867204,-24.9794000867204,-24.9794000867204,23,PASS
PC-00188,PRACH,3,50,90,-100,0.8,0,1,-0.979400086720375,-0.979400086720375,-0.979400086720375,23,PASS
PC-00189,PRACH,3,50,120,-100,0.8,0,1,23.0205999132796,23,23,23,PASS
PC-00190,PRACH,3,100,60,-100,0.8,0,1,-21.9691001300806,-21.9691001300806,-21.9691001300806,23,PASS
PC-00191,PRACH,3,100,90,-100,0.8,0,1,2.03089986991944,2.03089986991944,2.03089986991944,23,PASS
PC-00192,PRACH,3,100,120,-100,0.8,0,1,26.0308998699194,23,23,23,PASS
