RunID,StageIndex,StageName,Direction,InputReferencePlane,OutputReferencePlane,InputPower_dBm,OutputPower_dBm,StateID,Status
RF-023,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,2.99999999999997,2.50000000000005,RFSTATE-023,PASS
RF-023,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,2.50000000000005,2.25000000000003,RFSTATE-023,PASS
RF-023,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,2.25000000000003,1.25000000000002,RFSTATE-023,PASS
RF-024,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,3.99999999999996,3.99999999999996,RFSTATE-024,PASS
RF-024,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,3.99999999999996,3.50000000000003,RFSTATE-024,PASS
RF-024,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,3.50000000000003,3.24999999999996,RFSTATE-024,PASS
RF-024,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,3.24999999999996,2.25000000000003,RFSTATE-024,PASS
RF-025,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,5.00000000000003,5.00000000000003,RFSTATE-025,PASS
RF-025,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,5.00000000000003,4.50000000000001,RFSTATE-025,PASS
RF-025,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,4.50000000000001,4.24999999999998,RFSTATE-025,PASS
RF-025,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,4.24999999999998,3.24999999999996,RFSTATE-025,PASS
