CaseID,ProfileID,Offset_Hz,ExpectedPSD_dBcHz,MeasuredPSD_dBcHz,Error_dB,ChainID,MeasurementMethod,Status
PN-0010,OSC_FR2_A,1000,-70,-69.9934132432723,0.00658675672772802,1,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,10000,-82,-82.0419276045633,-0.0419276045633126,1,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,100000,-96,-95.8245005905195,0.175499409480494,1,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,1000000,-112,-112.382790925636,-0.38279092563576,1,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,10000000,-130,-129.757367512051,0.242632487949265,1,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,1000,-70,-69.9934132432723,0.00658675672772802,2,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,10000,-82,-82.0419276045633,-0.0419276045633126,2,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,100000,-96,-95.8245005905195,0.175499409480494,2,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,1000000,-112,-112.382790925636,-0.38279092563576,2,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,10000000,-130,-129.757367512051,0.242632487949265,2,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,1000,-70,-69.9934132432723,0.00658675672772802,3,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,10000,-82,-82.0419276045633,-0.0419276045633126,3,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,100000,-96,-95.8245005905195,0.175499409480494,3,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,1000000,-112,-112.382790925636,-0.38279092563576,3,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,10000000,-130,-129.757367512051,0.242632487949265,3,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,1000,-70,-69.9934132432723,0.00658675672772802,4,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,10000,-82,-82.0419276045633,-0.0419276045633126,4,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,100000,-96,-95.8245005905195,0.175499409480494,4,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,1000000,-112,-112.382790925636,-0.38279092563576,4,runtime_filter_transfer_psd,PASS
PN-0010,OSC_FR2_A,10000000,-130,-129.757367512051,0.242632487949265,4,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,1000,-70,-69.9934132432723,0.00658675672772802,1,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,10000,-82,-82.0419276045633,-0.0419276045633126,1,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,100000,-96,-95.8245005905195,0.175499409480494,1,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,1000000,-112,-112.382790925636,-0.38279092563576,1,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,10000000,-130,-129.757367512051,0.242632487949265,1,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,1000,-70,-69.9934132432723,0.00658675672772802,2,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,10000,-82,-82.0419276045633,-0.0419276045633126,2,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,100000,-96,-95.8245005905195,0.175499409480494,2,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,1000000,-112,-112.382790925636,-0.38279092563576,2,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,10000000,-130,-129.757367512051,0.242632487949265,2,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,1000,-70,-69.9934132432723,0.00658675672772802,3,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,10000,-82,-82.0419276045633,-0.0419276045633126,3,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,100000,-96,-95.8245005905195,0.175499409480494,3,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,1000000,-112,-112.382790925636,-0.38279092563576,3,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,10000000,-130,-129.757367512051,0.242632487949265,3,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,1000,-70,-69.9934132432723,0.00658675672772802,4,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,10000,-82,-82.0419276045633,-0.0419276045633126,4,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,100000,-96,-95.8245005905195,0.175499409480494,4,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,1000000,-112,-112.382790925636,-0.38279092563576,4,runtime_filter_transfer_psd,PASS
PN-0011,OSC_FR2_A,10000000,-130,-129.757367512051,0.242632487949265,4,runtime_filter_transfer_psd,PASS
PN-0012,OSC_FR2_A,1000,-70,-69.9934132432723,0.00658675672772802,1,runtime_filter_transfer_psd,PASS
PN-0012,OSC_FR2_A,10000,-82,-82.0419276045633,-0.0419276045633126,1,runtime_filter_transfer_psd,PASS
PN-0012,OSC_FR2_A,100000,-96,-95.8245005905195,0.175499409480494,1,runtime_filter_transfer_psd,PASS
PN-0012,OSC_FR2_A,1000000,-112,-112.382790925636,-0.38279092563576,1,runtime_filter_transfer_psd,PASS
PN-0012,OSC_FR2_A,10000000,-130,-129.757367512051,0.242632487949265,1,runtime_filter_transfer_psd,PASS
PN-0012,OSC_FR2_A,1000,-70,-69.9934132432723,0.00658675672772802,2,runtime_filter_transfer_psd,PASS
