RunID,ExperimentID,Rank,Layer,MeasuredSINRDB,EVMPercent,BLER,GoodputMbps,RankCollapsed,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,XPRDB,CodewordCount,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F05_P03_T,2,2,0.22748836983354878,124.62864205650285,0.89500000000000002,0.010080000000000006,false,PASS,F05,treatment,polarization_model,dual-polar,5,10,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P04_B,1,1,4.6070484465792561,77.654838925023356,0.62250000000000005,0.018120000000000011,false,PASS,F05,baseline,polarization_model,co-polar,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P04_T,2,1,3.6379483164986932,86.820749309074486,0.69099999999999995,0.029664000000000024,false,PASS,F05,treatment,polarization_model,dual-polar,10,10,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P04_T,2,2,3.4879483164986933,86.92074930907448,0.69099999999999995,0.029664000000000024,false,PASS,F05,treatment,polarization_model,dual-polar,10,10,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P05_B,1,1,6.1248531397830321,65.858208089888834,0.497,0.02414400000000002,false,PASS,F05,baseline,polarization_model,co-polar,15,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P05_T,2,1,5.1557530097024671,73.631715082659014,0.5635,0.041904000000000032,false,PASS,F05,treatment,polarization_model,dual-polar,15,10,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P05_T,2,2,5.0057530097024667,73.731715082659008,0.5635,0.041904000000000032,false,PASS,F05,treatment,polarization_model,dual-polar,15,10,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P06_B,1,1,7.4183856571626823,54.970668971521441,0.39300000000000002,0.02913600000000002,false,PASS,F05,baseline,polarization_model,co-polar,20,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P06_T,2,1,6.4492855270821243,61.459076294480219,0.47199999999999998,0.050688000000000032,false,PASS,F05,treatment,polarization_model,dual-polar,20,10,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P06_T,2,2,6.299285527082124,61.559076294480221,0.47199999999999998,0.050688000000000032,false,PASS,F05,treatment,polarization_model,dual-polar,20,10,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P01_B,2,1,-10.266905521561636,435.06876898474655,1,0,false,PASS,F17,baseline,dl_rank,2,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P01_B,2,2,-10.416905521561636,435.16876898474658,1,0,false,PASS,F17,baseline,dl_rank,2,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P01_T,8,1,-15.734500243927533,816.46513694227508,1,0,false,PASS,F17,treatment,dl_rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P01_T,8,2,-15.884500243927533,816.5651369422751,1,0,false,PASS,F17,treatment,dl_rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P01_T,8,3,-16.034500243927532,816.66513694227513,1,0,false,PASS,F17,treatment,dl_rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P01_T,8,4,-16.184500243927534,816.76513694227503,1,0,false,PASS,F17,treatment,dl_rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P01_T,8,5,-16.334500243927533,816.86513694227506,1,0,false,PASS,F17,treatment,dl_rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P01_T,8,6,-16.484500243927535,816.96513694227508,1,0,false,PASS,F17,treatment,dl_rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P01_T,8,7,-16.634500243927533,817.0651369422751,1,0,false,PASS,F17,treatment,dl_rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P01_T,8,8,-16.784500243927532,817.16513694227513,1,0,false,PASS,F17,treatment,dl_rank,8,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P02_B,2,1,-5.5910701179760354,246.283092744925,0.99950000000000006,4.8000000000000001e-05,false,PASS,F17,baseline,dl_rank,2,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P02_B,2,2,-5.7410701179760357,246.38309274492499,0.99950000000000006,4.8000000000000001e-05,false,PASS,F17,baseline,dl_rank,2,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P02_T,8,1,-11.058664840341939,462.18339117695263,1,0,false,PASS,F17,treatment,dl_rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P02_T,8,2,-11.208664840341939,462.28339117695265,1,0,false,PASS,F17,treatment,dl_rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P02_T,8,3,-11.358664840341939,462.38339117695261,1,0,false,PASS,F17,treatment,dl_rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P02_T,8,4,-11.508664840341938,462.48339117695264,1,0,false,PASS,F17,treatment,dl_rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P02_T,8,5,-11.658664840341938,462.5833911769526,1,0,false,PASS,F17,treatment,dl_rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P02_T,8,6,-11.808664840341939,462.68339117695263,1,0,false,PASS,F17,treatment,dl_rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P02_T,8,7,-11.958664840341939,462.78339117695265,1,0,false,PASS,F17,treatment,dl_rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P02_T,8,8,-12.108664840341939,462.88339117695261,1,0,false,PASS,F17,treatment,dl_rank,8,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P03_B,2,1,-1.5141759387513904,159.73910022317918,0.96250000000000002,0.0036000000000000008,false,PASS,F17,baseline,dl_rank,2,5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P03_B,2,2,-1.6641759387513904,159.83910022317917,0.96250000000000002,0.0036000000000000008,false,PASS,F17,baseline,dl_rank,2,5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P03_T,8,1,-6.9817706611172934,299.77193408549709,1,0,false,PASS,F17,treatment,dl_rank,8,5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P03_T,8,2,-7.1317706611172937,299.87193408549712,1,0,false,PASS,F17,treatment,dl_rank,8,5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P03_T,8,3,-7.2817706611172932,299.97193408549708,1,0,false,PASS,F17,treatment,dl_rank,8,5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P03_T,8,4,-7.4317706611172936,300.07193408549711,1,0,false,PASS,F17,treatment,dl_rank,8,5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P03_T,8,5,-7.581770661117293,300.17193408549707,1,0,false,PASS,F17,treatment,dl_rank,8,5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P03_T,8,6,-7.7317706611172934,300.27193408549709,1,0,false,PASS,F17,treatment,dl_rank,8,5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P03_T,8,7,-7.8817706611172937,300.37193408549712,1,0,false,PASS,F17,treatment,dl_rank,8,5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P03_T,8,8,-8.0317706611172941,300.47193408549708,1,0,false,PASS,F17,treatment,dl_rank,8,5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F17_P04_B,2,1,1.5219070099668368,115.26490323123274,0.82399999999999995,0.016896000000000012,false,PASS,F17,baseline,dl_rank,2,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
