RunID,ExperimentID,Receiver,Samples,AgeSlots,ConditionNumber,MinEigenvalue,ShrinkageFactor,MeasuredSINRDB,BLER,FallbackUsed,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,InterferenceLevelDB,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F30_P02_B,ZF,32,0,1,1,0,-7.0141026118630077,0.99950000000000006,false,PASS,F30,baseline,receiver,ZF,0,7.0141026118630077,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F30_P02_T,MMSE,32,0,1,1,0,-5.7667513416342127,0.99850000000000005,false,PASS,F30,treatment,receiver,MMSE,0,5.7667513416342127,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F30_P03_B,ZF,32,0,1,1,0,-3.2445569066043474,0.99050000000000005,false,PASS,F30,baseline,receiver,ZF,5,8.2445569066043483,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F30_P03_T,MMSE,32,0,1,1,0,-1.4143670178384125,0.96199999999999997,false,PASS,F30,treatment,receiver,MMSE,5,6.414367017838412,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F30_P04_B,ZF,32,0,1,1,0,-0.62540165917915824,0.93899999999999995,false,PASS,F30,baseline,receiver,ZF,10,10.625401659179158,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F30_P04_T,MMSE,32,0,1,1,0,2.1459741289834611,0.79949999999999999,false,PASS,F30,treatment,receiver,MMSE,10,7.8540258710165389,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F30_P05_B,ZF,32,0,1,1,0,0.5934499188250828,0.89900000000000002,false,PASS,F30,baseline,receiver,ZF,15,14.406550081174917,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F30_P05_T,MMSE,32,0,1,1,0,4.2234796017237306,0.65649999999999997,false,PASS,F30,treatment,receiver,MMSE,15,10.776520398276269,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F30_P06_B,ZF,32,0,1,1,0,1.0109802271838559,0.86599999999999999,false,PASS,F30,baseline,receiver,ZF,20,18.989019772816143,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F30_P06_T,MMSE,32,0,1,1,0,5.1180667324747064,0.5645,false,PASS,F30,treatment,receiver,MMSE,20,14.881933267525294,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
