relative_path,extension,bytes,sha256,decode_ok,format,width_px,height_px,mode,grayscale_min,grayscale_max,grayscale_stddev,blank_or_constant,issue
analytics/image/contract__power-energy-efficiency-analytics__active-bandwidth-vs-power.png,.png,34654,5afcf0b12f463fcc621f2b47a1ac9c833bfc68af7bd0f79d3f6df46647c525c3,True,PNG,1280,720,RGBA,23,255,23.364589747911513,False,
analytics/image/contract__power-energy-efficiency-analytics__active-rank-vs-power.png,.png,32061,0735ae5233f2fca0f40044c8dbeada56e75a3d89db258b8973b348e29dac5d03,True,PNG,1280,720,RGBA,23,255,60.697366271476675,False,
analytics/image/contract__power-energy-efficiency-analytics__baseband-power.png,.png,43203,c96c6b05ffa9efd22b6701cba17a684d954e5a2e27282b25731da1762ccb114a,True,PNG,1280,720,RGBA,23,255,25.93516540712875,False,
analytics/image/contract__power-energy-efficiency-analytics__dl-tx-power-per-cell-beam-ue.png,.png,45818,ba2726830e49099038b3a5dda97b193567c071702829ee26a653bbd7a4200324,True,PNG,1280,720,RGBA,23,255,61.379021635853775,False,
analytics/image/contract__power-energy-efficiency-analytics__energy-bit.png,.png,34699,1ca44fd4eaf7f404ad4a6d74492396ee4550646d712e8e9942031c02b8e303df,True,PNG,1280,720,RGBA,23,255,49.353718595485311,False,
analytics/image/contract__power-energy-efficiency-analytics__energy-efficiency-by-cell.png,.png,36040,8821b526df31d49e28d23073979f8f8a71392a86acf9e2a10d6579e99dae9c2a,True,PNG,1280,720,RGBA,23,255,60.996798200414439,False,
analytics/image/contract__power-energy-efficiency-analytics__energy-efficiency-by-ue.png,.png,36367,61e2f162b071641f2f38c2ec8abf19df3735dfd04ed323c4a795742b69ea23b7,True,PNG,1280,720,RGBA,23,255,60.947796253182268,False,
analytics/image/contract__power-energy-efficiency-analytics__energy-per-bit-histogram.png,.png,29932,6f9dd5f371e92325c809b4756bc14bcb25c989893a7eb0e2a4d0a8fdc1cca57e,True,PNG,1280,720,RGBA,23,255,51.95878956699201,False,
analytics/image/contract__power-energy-efficiency-analytics__joules-gb.png,.png,33824,2f0532cacb64c31ae93e47402c0bbcb71b5790346f2bd078093c43c25388be2e,True,PNG,1280,720,RGBA,23,255,49.240620770947274,False,
analytics/image/contract__power-energy-efficiency-analytics__papr-vs-power.png,.png,38067,fd45ac3853d1d90d58df048a32667cb54289bf47ccc6936f59c23fe2d862f440,True,PNG,1280,720,RGBA,23,255,22.367805864209735,False,
analytics/image/contract__power-energy-efficiency-analytics__power-vs-bler.png,.png,38821,456979d7de1ba079d14d6bffe8c8a2fb2be6a17aaf68c2fd8a83b96dccdbaffe,True,PNG,1280,720,RGBA,23,255,22.441942305625581,False,
analytics/image/contract__power-energy-efficiency-analytics__power-vs-throughput.png,.png,39352,e59f07bcf74a70876b560e673c9e6d3b30d9afde403834976d4188c876f44c79,True,PNG,1280,720,RGBA,23,255,23.229727617673738,False,
analytics/image/contract__power-energy-efficiency-analytics__sleep-idle-active-state-occupancy.png,.png,42513,5f8e1883553f38a61d97a100d2bd51a832f8daf509dd529670aa5bc7091816c9,True,PNG,1280,720,RGBA,23,255,50.629926231151053,False,
analytics/image/contract__random-access-prach-analytics__access-latency.png,.png,34914,a6588728a9671803cdd0e2503c67788ebbc3df4007b5b101dd0940af7962de8f,True,PNG,1280,720,RGBA,23,255,58.129719185146413,False,
analytics/image/contract__random-access-prach-analytics__detection-rate.png,.png,41339,b11e6f2b8069c7652f00a69c4b537aaf92eec5d1de1cc5458f26b5df515c67b3,True,PNG,1280,720,RGBA,23,255,62.556103183533502,False,
analytics/image/contract__random-access-prach-analytics__false-alarm-rate.png,.png,41278,082345720a9cd14e355e62940a9e39512b3a67145cc1902278c703771931e082,True,PNG,1280,720,RGBA,23,255,22.993637576799124,False,
analytics/image/contract__random-access-prach-analytics__missed-detection-rate.png,.png,43071,fe876f02fd1cf7c718c7f11a3c6358123c27db16136518e9795b660db81a4b5d,True,PNG,1280,720,RGBA,23,255,23.922826557820716,False,
analytics/image/contract__random-access-prach-analytics__preamble-root-cyclic-shift-usage-summary.png,.png,48167,f5fb0fbd027f11d04f8e9f15230ae93fcb160798f2282983d7c65f5da9749a23,True,PNG,1280,720,RGBA,23,255,45.182382001403134,False,
analytics/image/contract__random-access-prach-analytics__retry-count-distribution.png,.png,33751,a3c60afa1f88586784f74b254bbce6c3e80c35b1daa558ed1716d249b0685755,True,PNG,1280,720,RGBA,23,255,49.925656098931704,False,
analytics/image/contract__random-access-prach-analytics__timing-advance-distribution.png,.png,35126,5d7d8b28dc78d3c5bd15963906df31e98e151d1b03cd089a4b64f2add2018b52,True,PNG,1280,720,RGBA,23,255,50.209199557062547,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__dmrs-ptrs-occupancy-map.png,.png,41291,c2522b52d34342a6aaa6c607767947bebab2c3e328614eb9fc71ccf08851056c,True,PNG,1280,720,RGBA,23,255,51.963510326031965,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__pbch-ssb-map.png,.png,41559,3d63efd86f86aecbe481d512ecc49cc61c0c81fa8e77e42e22f5fbbef3e9df5c,True,PNG,1280,720,RGBA,23,255,58.408288679411378,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__pdcch-map.png,.png,42713,2ebcd7e353dd168c7813ce37d2c96a5abc48ce68c84c34e9f1f39568c4b3af51,True,PNG,1280,720,RGBA,23,255,49.731730739429409,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__pdsch-map.png,.png,25847,6a14b84ed9ff3491aabfd393c10bd02400021edac34592fc28d4173456602c8d,True,PNG,1180,760,RGBA,23,255,51.977797686619056,False,
analytics/image/contract__resource-grid-re-occupancy-analytics__prach-opportunity-map.png,.png,37138,d13128a49435f9f67dae194122acd65305cdeabef5513c0620ae7a96799ee565,True,PNG,1280,720,RGBA,23,255,50.099892477549027,False,
