CaseID,BWPID,PRB,Subcarrier,FFTBin,IsDC,Owner,Status
MAP-300-512,BWP-1,17,75,75,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,17,76,76,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,17,77,77,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,18,78,78,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,18,79,79,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,18,80,80,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,18,81,81,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,18,82,82,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,18,83,83,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,18,84,84,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,18,85,85,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,18,86,86,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,18,87,87,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,18,88,88,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,18,89,89,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,19,90,90,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,19,91,91,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,19,92,92,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,19,93,93,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,19,94,94,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,19,95,95,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,19,96,96,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,19,97,97,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,19,98,98,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,19,99,99,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,19,100,100,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,19,101,101,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,20,102,102,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,20,103,103,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,20,104,104,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,20,105,105,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,20,106,106,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,20,107,107,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,20,108,108,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,20,109,109,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,20,110,110,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,20,111,111,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,20,112,112,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,20,113,113,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,21,114,114,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,21,115,115,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,21,116,116,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,21,117,117,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,21,118,118,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,21,119,119,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,21,120,120,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,21,121,121,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,21,122,122,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,21,123,123,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,21,124,124,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,21,125,125,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,22,126,126,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,22,127,127,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,22,128,128,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,22,129,129,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,22,130,130,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,22,131,131,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,22,132,132,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,22,133,133,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,22,134,134,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,22,135,135,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,22,136,136,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,22,137,137,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,23,138,138,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,23,139,139,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,23,140,140,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,23,141,141,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,23,142,142,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,23,143,143,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,23,144,144,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,23,145,145,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,23,146,146,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,23,147,147,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,23,148,148,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,23,149,149,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,24,150,150,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,24,151,151,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,24,152,152,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,24,153,153,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,24,154,154,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,24,155,155,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,24,156,156,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,24,157,157,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,24,158,158,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,24,159,159,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,24,160,160,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,24,161,161,0,PDSCH_PORT_0,PASS
