Profile,Frequency_Hz,PSD_dB_per_Hz,AnalysisWindow,RBW_Hz,Status
CP-OFDM,150000,-83.5014682608507,rectangular,7500,PASS
CP-OFDM,157500,-82.1696216525356,rectangular,7500,PASS
CP-OFDM,165000,-76.8246165850519,rectangular,7500,PASS
CP-OFDM,172500,-73.2677390913977,rectangular,7500,PASS
CP-OFDM,180000,-69.8503657973587,rectangular,7500,PASS
CP-OFDM,187500,-72.1361809593884,rectangular,7500,PASS
CP-OFDM,195000,-68.230044983646,rectangular,7500,PASS
CP-OFDM,202500,-67.6149553762042,rectangular,7500,PASS
CP-OFDM,210000,-61.9861648557585,rectangular,7500,PASS
CP-OFDM,217500,-61.2164133282418,rectangular,7500,PASS
CP-OFDM,225000,-61.9198531375833,rectangular,7500,PASS
CP-OFDM,232500,-66.27892511153,rectangular,7500,PASS
CP-OFDM,240000,-70.9509508303842,rectangular,7500,PASS
CP-OFDM,247500,-63.6744601877876,rectangular,7500,PASS
CP-OFDM,255000,-67.5742416264049,rectangular,7500,PASS
CP-OFDM,262500,-69.6690007040789,rectangular,7500,PASS
CP-OFDM,270000,-69.6625430824579,rectangular,7500,PASS
CP-OFDM,277500,-79.929624537207,rectangular,7500,PASS
CP-OFDM,285000,-66.974903890438,rectangular,7500,PASS
CP-OFDM,292500,-67.4252213313607,rectangular,7500,PASS
CP-OFDM,300000,-64.8014351326186,rectangular,7500,PASS
CP-OFDM,307500,-65.9088467485509,rectangular,7500,PASS
CP-OFDM,315000,-69.0159358799092,rectangular,7500,PASS
CP-OFDM,322500,-63.4272911390989,rectangular,7500,PASS
CP-OFDM,330000,-65.4392011259894,rectangular,7500,PASS
CP-OFDM,337500,-72.1699055212224,rectangular,7500,PASS
CP-OFDM,345000,-71.6430649380403,rectangular,7500,PASS
CP-OFDM,352500,-66.2726336717024,rectangular,7500,PASS
CP-OFDM,360000,-63.2443577461037,rectangular,7500,PASS
CP-OFDM,367500,-68.1892857345229,rectangular,7500,PASS
CP-OFDM,375000,-65.0688541674223,rectangular,7500,PASS
CP-OFDM,382500,-71.1044029808818,rectangular,7500,PASS
CP-OFDM,390000,-66.1158820808587,rectangular,7500,PASS
CP-OFDM,397500,-65.5078266519773,rectangular,7500,PASS
CP-OFDM,405000,-68.6120408355264,rectangular,7500,PASS
CP-OFDM,412500,-62.7362075897683,rectangular,7500,PASS
CP-OFDM,420000,-66.0220973850418,rectangular,7500,PASS
CP-OFDM,427500,-65.9942534322973,rectangular,7500,PASS
CP-OFDM,435000,-72.2933759634339,rectangular,7500,PASS
CP-OFDM,442500,-63.0844494405553,rectangular,7500,PASS
CP-OFDM,450000,-63.6114754008463,rectangular,7500,PASS
CP-OFDM,457500,-68.9573117875263,rectangular,7500,PASS
CP-OFDM,465000,-75.3207865286648,rectangular,7500,PASS
CP-OFDM,472500,-64.2172529956902,rectangular,7500,PASS
CP-OFDM,480000,-61.0641265479019,rectangular,7500,PASS
CP-OFDM,487500,-64.765429428105,rectangular,7500,PASS
CP-OFDM,495000,-64.6288477778253,rectangular,7500,PASS
CP-OFDM,502500,-64.8920831936291,rectangular,7500,PASS
CP-OFDM,510000,-72.6669030636709,rectangular,7500,PASS
CP-OFDM,517500,-73.0622410174788,rectangular,7500,PASS
CP-OFDM,525000,-72.9922426911704,rectangular,7500,PASS
CP-OFDM,532500,-68.7464933780797,rectangular,7500,PASS
CP-OFDM,540000,-74.3287273105289,rectangular,7500,PASS
CP-OFDM,547500,-69.1818975474036,rectangular,7500,PASS
CP-OFDM,555000,-65.0643260676957,rectangular,7500,PASS
CP-OFDM,562500,-71.1971122943976,rectangular,7500,PASS
CP-OFDM,570000,-72.4431105909339,rectangular,7500,PASS
CP-OFDM,577500,-65.4666579097637,rectangular,7500,PASS
CP-OFDM,585000,-68.4998424527023,rectangular,7500,PASS
CP-OFDM,592500,-68.0207319173355,rectangular,7500,PASS
CP-OFDM,600000,-61.6868938094349,rectangular,7500,PASS
CP-OFDM,607500,-63.8767608949474,rectangular,7500,PASS
CP-OFDM,615000,-85.7020338023973,rectangular,7500,PASS
CP-OFDM,622500,-70.7671619377073,rectangular,7500,PASS
CP-OFDM,630000,-67.9954576453415,rectangular,7500,PASS
CP-OFDM,637500,-66.9582988901812,rectangular,7500,PASS
CP-OFDM,645000,-68.3407563015227,rectangular,7500,PASS
CP-OFDM,652500,-65.2123192148213,rectangular,7500,PASS
CP-OFDM,660000,-62.2195035975436,rectangular,7500,PASS
CP-OFDM,667500,-67.6322523146318,rectangular,7500,PASS
CP-OFDM,675000,-67.1558665440449,rectangular,7500,PASS
CP-OFDM,682500,-62.8280198951248,rectangular,7500,PASS
CP-OFDM,690000,-71.0946472252124,rectangular,7500,PASS
CP-OFDM,697500,-62.5512236386969,rectangular,7500,PASS
CP-OFDM,705000,-65.8578598933124,rectangular,7500,PASS
CP-OFDM,712500,-66.5772846606373,rectangular,7500,PASS
CP-OFDM,720000,-69.1470036622408,rectangular,7500,PASS
CP-OFDM,727500,-69.7295894226956,rectangular,7500,PASS
CP-OFDM,735000,-64.3904626362697,rectangular,7500,PASS
CP-OFDM,742500,-68.8066323641294,rectangular,7500,PASS
CP-OFDM,750000,-68.254161911964,rectangular,7500,PASS
CP-OFDM,757500,-73.717758500488,rectangular,7500,PASS
CP-OFDM,765000,-73.0802824823695,rectangular,7500,PASS
CP-OFDM,772500,-66.1260355288775,rectangular,7500,PASS
CP-OFDM,780000,-59.2332243733516,rectangular,7500,PASS
CP-OFDM,787500,-56.1734687492209,rectangular,7500,PASS
CP-OFDM,795000,-60.658376757797,rectangular,7500,PASS
CP-OFDM,802500,-71.4251376151534,rectangular,7500,PASS
CP-OFDM,810000,-63.4115580250664,rectangular,7500,PASS
CP-OFDM,817500,-63.3696912967844,rectangular,7500,PASS
CP-OFDM,825000,-60.3083178955266,rectangular,7500,PASS
CP-OFDM,832500,-64.2726630522717,rectangular,7500,PASS
CP-OFDM,840000,-68.0578631975237,rectangular,7500,PASS
CP-OFDM,847500,-80.36781469576,rectangular,7500,PASS
CP-OFDM,855000,-65.6327702413357,rectangular,7500,PASS
CP-OFDM,862500,-64.9923602626752,rectangular,7500,PASS
CP-OFDM,870000,-66.4196903433996,rectangular,7500,PASS
CP-OFDM,877500,-64.0335006138325,rectangular,7500,PASS
CP-OFDM,885000,-70.1175933228238,rectangular,7500,PASS
CP-OFDM,892500,-68.9652066521561,rectangular,7500,PASS
CP-OFDM,900000,-64.1450926511953,rectangular,7500,PASS
CP-OFDM,907500,-71.3201725845931,rectangular,7500,PASS
CP-OFDM,915000,-71.0773505157521,rectangular,7500,PASS
CP-OFDM,922500,-75.5837729773257,rectangular,7500,PASS
CP-OFDM,930000,-69.8791784103942,rectangular,7500,PASS
CP-OFDM,937500,-69.7602410632749,rectangular,7500,PASS
CP-OFDM,945000,-71.0310307400613,rectangular,7500,PASS
CP-OFDM,952500,-78.9310477930954,rectangular,7500,PASS
CP-OFDM,960000,-69.6726532441461,rectangular,7500,PASS
CP-OFDM,967500,-70.4056361318062,rectangular,7500,PASS
CP-OFDM,975000,-72.2019708165294,rectangular,7500,PASS
CP-OFDM,982500,-67.9443050987218,rectangular,7500,PASS
CP-OFDM,990000,-80.5352384298005,rectangular,7500,PASS
CP-OFDM,997500,-78.541238991178,rectangular,7500,PASS
CP-OFDM,1005000,-69.3818111398495,rectangular,7500,PASS
CP-OFDM,1012500,-62.725347259637,rectangular,7500,PASS
CP-OFDM,1020000,-62.7557838992778,rectangular,7500,PASS
CP-OFDM,1027500,-64.5148103421796,rectangular,7500,PASS
CP-OFDM,1035000,-68.279364414544,rectangular,7500,PASS
CP-OFDM,1042500,-74.111725754357,rectangular,7500,PASS
CP-OFDM,1050000,-70.6617015952539,rectangular,7500,PASS
CP-OFDM,1057500,-73.4187600370746,rectangular,7500,PASS
CP-OFDM,1065000,-75.6636147895383,rectangular,7500,PASS
CP-OFDM,1072500,-69.0324905120759,rectangular,7500,PASS
CP-OFDM,1080000,-70.0731863781766,rectangular,7500,PASS
CP-OFDM,1087500,-66.1257670224071,rectangular,7500,PASS
CP-OFDM,1095000,-66.5475366971663,rectangular,7500,PASS
CP-OFDM,1102500,-65.4671283249124,rectangular,7500,PASS
CP-OFDM,1110000,-66.3600899567123,rectangular,7500,PASS
CP-OFDM,1117500,-69.7870788131483,rectangular,7500,PASS
CP-OFDM,1125000,-63.93604388822,rectangular,7500,PASS
CP-OFDM,1132500,-66.6931403596469,rectangular,7500,PASS
CP-OFDM,1140000,-69.223016404717,rectangular,7500,PASS
CP-OFDM,1147500,-65.8737253845178,rectangular,7500,PASS
CP-OFDM,1155000,-67.8521521526232,rectangular,7500,PASS
CP-OFDM,1162500,-79.0223072720315,rectangular,7500,PASS
CP-OFDM,1170000,-71.7784009078764,rectangular,7500,PASS
CP-OFDM,1177500,-64.0089978305314,rectangular,7500,PASS
CP-OFDM,1185000,-58.6209604799713,rectangular,7500,PASS
CP-OFDM,1192500,-59.6962235933131,rectangular,7500,PASS
CP-OFDM,1200000,-69.4574620308121,rectangular,7500,PASS
CP-OFDM,1207500,-75.2306117987328,rectangular,7500,PASS
