Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,TrialOrdinal,AbsoluteSlot,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,BeamGainGap_dB,BeamSelectionStrategy,ExecutionModel,Status,EventType,AcquisitionEventFlag,SwitchEventFlag,FirstHitEventFlag,BeamDetectedEventFlag,MisalignmentEventFlag,FailureEventFlag,SwitchLatencySlots,SwitchLatency_s,TrialsToFirstHit,StateBefore,StateAfter
"DL",12,7,7,38,38,1,147,1,26,0,0,32,0.481222524764291,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,2,"uninitialized","misaligned"
"DL",12,8,8,38,38,2,168,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_REFINEMENT_CONVERGED",0,0,1,0,0,0,NaN,NaN,2,"misaligned","aligned"
"DL",12,9,9,38,38,3,189,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_TRACK",0,0,0,0,0,0,NaN,NaN,2,"aligned","aligned"
"DL",12,7,7,39,39,1,147,2,3,0,1,32,0.00709867063125103,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,3,"uninitialized","misaligned"
"DL",12,8,8,39,39,2,168,2,16,0,0,32,1.17412279898434,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,3,"misaligned","misaligned"
"DL",12,9,9,39,39,3,189,2,2,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_REFINEMENT_CONVERGED",0,0,1,0,0,0,NaN,NaN,3,"misaligned","aligned"
"DL",12,7,7,40,40,1,147,1,24,0,0,32,0.563630730728818,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,40,40,2,168,2,4,0,0,32,0.0282309133793603,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,NaN,"misaligned","misaligned"
"DL",12,9,9,40,40,3,189,2,3,0,0,32,0.0485020421237436,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,7,7,41,41,1,147,1,27,0,0,32,0.246244962563253,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
