route,page,kind,section_slug,artifact
/reports/scheduler-mac-queue-qos-power-control-uci-flow/charts/sr-bsr-event-timeline,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,SR/BSR event timeline
/reports/scheduler-mac-queue-qos-power-control-uci-flow/charts/power-control-command-timeline,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,power control command timeline
/reports/scheduler-mac-queue-qos-power-control-uci-flow/charts/phr-distribution,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,PHR distribution
/reports/scheduler-mac-queue-qos-power-control-uci-flow/charts/grant-reason-distribution,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,grant reason distribution
/reports/harq-ack-nack-retransmission/charts/harq-process-timeline,reports,reports,harq-ack-nack-retransmission,HARQ process timeline
/reports/harq-ack-nack-retransmission/charts/rv-usage-distribution,reports,reports,harq-ack-nack-retransmission,RV usage distribution
/reports/harq-ack-nack-retransmission/charts/retransmission-count-histogram,reports,reports,harq-ack-nack-retransmission,retransmission count histogram
/reports/harq-ack-nack-retransmission/charts/ack-nack-timeline,reports,reports,harq-ack-nack-retransmission,ACK/NACK timeline
/reports/harq-ack-nack-retransmission/charts/residual-bler-by-harq-process,reports,reports,harq-ack-nack-retransmission,residual BLER by HARQ process
/reports/harq-ack-nack-retransmission/charts/combining-gain-histogram,reports,reports,harq-ack-nack-retransmission,combining gain histogram
/reports/dl-control-phy-pdcch/charts/pdcch-stage-latency-waterfall,reports,reports,dl-control-phy-pdcch,PDCCH stage latency waterfall
/reports/dl-control-phy-pdcch/charts/aggregation-level-distribution,reports,reports,dl-control-phy-pdcch,aggregation level distribution
/reports/dl-control-phy-pdcch/charts/cce-usage-heatmap,reports,reports,dl-control-phy-pdcch,CCE usage heatmap
/reports/dl-control-phy-pdcch/charts/pdcch-dmrs-occupancy,reports,reports,dl-control-phy-pdcch,PDCCH DMRS occupancy
/reports/dl-control-phy-pdcch/charts/pdcch-decode-success-failure-trend-if-applicable,reports,reports,dl-control-phy-pdcch,PDCCH decode success/failure trend if applicable
