TestID,CellID,CCID,BWPID,Frame,Slot,Symbol,CommonDirection,DedicatedDirection,ResolvedDirection,ResolutionSource,AllocationOwner,Status,IndexConvention
TDD-002,0,0,0,0,7,11,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,12,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,13,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,0,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,1,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,2,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,3,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,4,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,5,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,6,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,7,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,8,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,9,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,10,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,11,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,12,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,8,13,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,0,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,1,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,2,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,3,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,4,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,5,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,6,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,7,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,8,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,9,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,10,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,11,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,12,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,9,13,U,,U,common,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,0,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,1,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,2,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,3,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,4,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,5,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,6,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,7,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,8,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,9,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,10,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,11,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,12,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-003,0,0,0,0,0,13,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,0,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,1,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,2,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,3,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,4,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,5,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,6,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,7,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,8,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,9,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,10,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,11,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,12,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-004,0,0,0,0,0,13,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-005,0,0,0,0,0,0,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-005,0,0,0,0,0,1,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-005,0,0,0,0,0,2,F,D,D,dedicated,,PASS,zero_based_phy_indices
TDD-005,0,0,0,0,0,3,F,F,UNRESOLVED_FLEX,dedicated_flexible,,PASS,zero_based_phy_indices
TDD-005,0,0,0,0,0,4,F,F,UNRESOLVED_FLEX,dedicated_flexible,,PASS,zero_based_phy_indices
TDD-005,0,0,0,0,0,5,F,F,UNRESOLVED_FLEX,dedicated_flexible,,PASS,zero_based_phy_indices
TDD-005,0,0,0,0,0,6,F,F,UNRESOLVED_FLEX,dedicated_flexible,,PASS,zero_based_phy_indices
