RunID,CaseID,SchedulingRequestID,AbsoluteSlot,IsOccasion,PendingPositiveSR,Transmitted,ResourceID,Mismatch,Status
PUCCH_PHASE05_R18,SR-0101,2,15,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0102,3,15,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0103,4,18,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0104,1,18,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0105,2,21,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0106,3,21,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0107,4,24,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0108,1,24,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0109,2,0,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0110,3,0,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0111,4,3,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0112,1,3,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0113,2,6,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0114,3,6,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0115,4,9,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0116,1,9,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0117,2,12,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0118,3,12,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0119,4,15,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0120,1,15,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0121,2,18,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0122,3,18,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0123,4,21,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0124,1,21,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0125,2,24,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0126,3,24,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0127,4,0,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0128,1,0,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0129,2,3,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0130,3,3,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0131,4,6,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0132,1,6,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0133,2,9,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0134,3,9,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0135,4,12,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0136,1,12,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0137,2,15,true,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0138,3,15,true,true,true,3,false,PASS
PUCCH_PHASE05_R18,SR-0139,4,18,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0140,1,18,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0141,2,21,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0142,3,21,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0143,4,24,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0144,1,24,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0145,2,0,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0146,3,0,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0147,4,3,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0148,1,3,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0149,2,6,true,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0150,3,6,true,true,true,3,false,PASS
PUCCH_PHASE05_R18,SR-0151,4,9,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0152,1,9,false,true,false,1,false,PASS
