relative_path,artifact_role,canonical_source,row_count,column_count,all_zero_finite_column_count,all_missing_column_count,mixed_finite_missing_column_count,semantic_check_count,required_semantic_failure_count,mirror_hash_verified,audit_disposition
raw/evidence/tables/rawtrials_srs.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_srs.csv,6,1106,154,458,0,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_trs.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_trs.csv,5,1061,139,479,0,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_ul.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_ul.csv,5,1113,130,292,0,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_ulconstellation.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_ulconstellation.csv,13380,81,1,0,0,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
reports/csv/access_kpi_reconciliation.csv,canonical_or_derived_artifact,reports/csv/access_kpi_reconciliation.csv,1,9,0,1,0,5,0,False,PASS_STATUS_REDUCTION_SEMANTICS
reports/csv/access_state_timeline.csv,canonical_or_derived_artifact,reports/csv/access_state_timeline.csv,2,16,0,1,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/access_transition_ledger.csv,canonical_or_derived_artifact,reports/csv/access_transition_ledger.csv,2,38,0,2,5,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/active_issue_gate_summary.csv,canonical_or_derived_artifact,reports/csv/active_issue_gate_summary.csv,0,16,0,0,0,4,0,False,PASS_CONTRACTED_ZERO_EVENT_NO_OBSERVATIONS
reports/csv/aggregated_reporting_outputs.csv,canonical_or_derived_artifact,reports/csv/aggregated_reporting_outputs.csv,18,14,0,2,0,9,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/ai_confidence_trace.csv,canonical_or_derived_artifact,reports/csv/ai_confidence_trace.csv,1,9,2,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/ai_ml_outputs.csv,canonical_or_derived_artifact,reports/csv/ai_ml_outputs.csv,32,14,1,0,1,9,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/all_csv_artifact_audit.csv,canonical_or_derived_artifact,reports/csv/all_csv_artifact_audit.csv,1045,19,1,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/all_image_artifact_audit.csv,canonical_or_derived_artifact,reports/csv/all_image_artifact_audit.csv,292,18,2,2,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/antenna_array_reconciliation.csv,canonical_or_derived_artifact,reports/csv/antenna_array_reconciliation.csv,2,12,1,1,0,5,0,False,PASS_STATUS_REDUCTION_SEMANTICS
reports/csv/antenna_config_resolved.csv,canonical_or_derived_artifact,reports/csv/antenna_config_resolved.csv,2,21,0,0,4,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/antenna_pattern_samples.csv,canonical_or_derived_artifact,reports/csv/antenna_pattern_samples.csv,5402,24,4,0,2,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/antenna_runtime_evidence.csv,canonical_or_derived_artifact,reports/csv/antenna_runtime_evidence.csv,17,71,4,4,4,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/api_exposure_audit_table.csv,canonical_or_derived_artifact,reports/csv/api_exposure_audit_table.csv,124,35,0,16,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/artifact_completeness_summary.csv,canonical_or_derived_artifact,reports/csv/artifact_completeness_summary.csv,1,8,3,2,0,5,0,False,PASS_STATUS_REDUCTION_SEMANTICS
reports/csv/artifact_inventory.csv,canonical_or_derived_artifact,reports/csv/artifact_inventory.csv,911,11,0,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/artifact_issue_registry.csv,canonical_or_derived_artifact,reports/csv/artifact_issue_registry.csv,453,6,1,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/baseline_candidate_delta_tables.csv,canonical_or_derived_artifact,reports/csv/baseline_candidate_delta_tables.csv,1,4,0,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/basic_phy_performance_outputs.csv,canonical_or_derived_artifact,reports/csv/basic_phy_performance_outputs.csv,51,14,0,0,2,9,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/beam_management_outputs.csv,canonical_or_derived_artifact,reports/csv/beam_management_outputs.csv,128,14,0,0,2,9,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/beam_stability_analytics_table.csv,canonical_or_derived_artifact,reports/csv/beam_stability_analytics_table.csv,1,33,0,14,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
reports/csv/blerber_reconciliation.csv,canonical_or_derived_artifact,reports/csv/blerber_reconciliation.csv,1,7,4,1,0,5,0,False,PASS_STATUS_REDUCTION_SEMANTICS
