FamilyID,ExperimentID,Variant,PreambleFormat,RestrictedSet,ZCZ,Msg1FDM,RODensity,DetectionProbability,FalseAlarmProbability,TimingRMSE_samples,CollisionProbability,Status
F15,F15-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F15,F15-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F15,F15-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F15,F15-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F15,F15-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F15,F15-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F15,F15-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F15,F15-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F16,F16-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F16,F16-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F16,F16-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F16,F16-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F16,F16-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F16,F16-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F16,F16-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F16,F16-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F16,F16-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F16,F16-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F16,F16-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F16,F16-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F17,F17-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F17,F17-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F17,F17-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F17,F17-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F17,F17-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F17,F17-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F17,F17-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F17,F17-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F17,F17-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F17,F17-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F17,F17-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F17,F17-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F18,F18-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F18,F18-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F18,F18-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F18,F18-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F18,F18-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F18,F18-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F18,F18-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F18,F18-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F18,F18-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F18,F18-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F18,F18-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F18,F18-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F19,F19-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F19,F19-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F19,F19-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F19,F19-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F19,F19-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F19,F19-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F19,F19-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F19,F19-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F19,F19-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F19,F19-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F19,F19-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F19,F19-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
